Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Jun-2009,Southern,General Medicine,Acute Services,3,1,0,0,0,--,--,--,--,--,4,
30-Jun-2009,Southern,Gastroenterology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Jun-2009,Southern,Cardiology,Acute Services,48,32,0,0,0,--,--,--,--,--,80,
30-Jun-2009,Southern,Rheumatology,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
30-Jun-2009,Southern,Gynaecology,Acute Services,129,72,0,0,0,--,--,--,--,--,201,
30-Jun-2009,Western,General Surgery,Acute Services,142,126,20,0,0,--,--,--,--,--,288,
30-Jun-2009,Western,Urology,Acute Services,48,21,4,0,0,--,--,--,--,--,73,
30-Jun-2009,Western,T & O Surgery,Acute Services,231,188,101,5,1,--,--,--,--,--,526,
30-Jun-2009,Western,ENT,Acute Services,213,129,28,1,0,--,--,--,--,--,371,
30-Jun-2009,Western,Ophthalmology,Acute Services,1,2,0,0,0,--,--,--,--,--,3,
30-Jun-2009,Western,Oral Surgery,Acute Services,65,16,0,0,0,--,--,--,--,--,81,
30-Jun-2009,Western,General Medicine,Acute Services,3,2,0,0,0,--,--,--,--,--,5,
30-Jun-2009,Western,Cardiology,Acute Services,1,3,0,0,0,--,--,--,--,--,4,
30-Jun-2009,Western,Paediatrics,Acute Services,3,0,0,0,0,--,--,--,--,--,3,
30-Jun-2009,Western,Gynaecology,Acute Services,118,81,3,0,0,--,--,--,--,--,202,
30-Sep-2009,Belfast,General Surgery,Acute Services,433,321,51,0,0,--,--,--,--,--,805,
30-Sep-2009,Belfast,Urology,Acute Services,159,115,69,17,51,--,--,--,--,--,411,
30-Sep-2009,Belfast,T & O Surgery,Acute Services,"1,012",848,103,29,47,--,--,--,--,--,"2,039",
30-Sep-2009,Belfast,ENT,Acute Services,330,325,137,8,1,--,--,--,--,--,801,
30-Sep-2009,Belfast,Ophthalmology,Acute Services,87,100,76,24,3,--,--,--,--,--,290,
30-Sep-2009,Belfast,Oral Surgery,Acute Services,20,31,2,0,0,--,--,--,--,--,53,
30-Sep-2009,Belfast,Neurosurgery,Acute Services,40,42,40,15,25,--,--,--,--,--,162,
30-Sep-2009,Belfast,Plastic Surgery,Acute Services,73,54,21,2,9,--,--,--,--,--,159,
30-Sep-2009,Belfast,Cardiac Surgery,Acute Services,112,97,12,1,0,--,--,--,--,--,222,
30-Sep-2009,Belfast,Paediatric Surgery,Acute Services,15,12,2,0,0,--,--,--,--,--,29,
30-Sep-2009,Belfast,Thoracic Surgery,Acute Services,32,9,0,0,0,--,--,--,--,--,41,
30-Sep-2009,Belfast,Pain Management,Acute Services,2,1,0,0,0,--,--,--,--,--,3,
30-Sep-2009,Belfast,General Medicine,Acute Services,34,10,1,0,0,--,--,--,--,--,45,
30-Sep-2009,Belfast,Gastroenterology,Acute Services,8,1,0,0,0,--,--,--,--,--,9,
30-Sep-2009,Belfast,Endocrinology,Acute Services,11,0,0,0,0,--,--,--,--,--,11,
30-Sep-2009,Belfast,Cardiology,Acute Services,102,48,12,2,1,--,--,--,--,--,165,
30-Sep-2009,Belfast,Dermatology,Acute Services,1,3,0,0,0,--,--,--,--,--,4,
30-Sep-2009,Belfast,Thoracic Medicine,Acute Services,4,2,0,0,0,--,--,--,--,--,6,
30-Sep-2009,Belfast,Nephrology,Acute Services,10,15,0,0,0,--,--,--,--,--,25,
30-Sep-2009,Belfast,Neurology,Acute Services,53,16,0,0,0,--,--,--,--,--,69,
30-Sep-2009,Belfast,Paediatrics,Acute Services,10,5,4,0,1,--,--,--,--,--,20,
30-Sep-2009,Belfast,Gynaecology,Acute Services,160,84,51,5,1,--,--,--,--,--,301,
30-Sep-2009,Belfast,Child & Adolescent Psychiatry,Mental Health,4,0,0,0,0,--,--,--,--,--,4,
30-Sep-2009,Northern,General Surgery,Acute Services,169,102,40,1,0,--,--,--,--,--,312,
30-Sep-2009,Northern,Urology,Acute Services,100,80,45,5,0,--,--,--,--,--,230,
30-Sep-2009,Northern,ENT,Acute Services,145,122,5,0,0,--,--,--,--,--,272,
30-Sep-2009,Northern,Oral Surgery,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2009,Northern,General Medicine,Acute Services,2,3,0,0,0,--,--,--,--,--,5,
30-Sep-2009,Northern,Gastroenterology,Acute Services,1,0,1,0,0,--,--,--,--,--,2,
30-Sep-2009,Northern,Cardiology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Sep-2009,Northern,Dermatology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2009,Northern,Gynaecology,Acute Services,126,107,54,0,0,--,--,--,--,--,287,
30-Sep-2009,South Eastern,General Surgery,Acute Services,87,27,0,0,0,--,--,--,--,--,114,
30-Sep-2009,South Eastern,Urology,Acute Services,34,9,0,0,0,--,--,--,--,--,43,
30-Sep-2009,South Eastern,T & O Surgery,Acute Services,5,0,0,0,0,--,--,--,--,--,5,
30-Sep-2009,South Eastern,ENT,Acute Services,26,37,0,0,0,--,--,--,--,--,63,
30-Sep-2009,South Eastern,Oral Surgery,Acute Services,26,15,0,0,0,--,--,--,--,--,41,
30-Sep-2009,South Eastern,Plastic Surgery,Acute Services,59,25,0,0,0,--,--,--,--,--,84,
30-Sep-2009,South Eastern,General Medicine,Acute Services,16,4,0,0,0,--,--,--,--,--,20,
30-Sep-2009,South Eastern,Cardiology,Acute Services,10,5,0,0,0,--,--,--,--,--,15,
30-Sep-2009,South Eastern,Dermatology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2009,South Eastern,Gynaecology,Acute Services,121,76,0,0,0,--,--,--,--,--,197,
30-Sep-2009,Southern,General Surgery,Acute Services,170,79,0,0,0,--,--,--,--,--,249,
30-Sep-2009,Southern,Urology,Acute Services,103,78,33,0,2,--,--,--,--,--,216,
30-Sep-2009,Southern,T & O Surgery,Acute Services,67,77,2,0,0,--,--,--,--,--,146,
30-Sep-2009,Southern,ENT,Acute Services,164,126,0,0,0,--,--,--,--,--,290,
30-Sep-2009,Southern,Pain Management,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2009,Southern,General Medicine,Acute Services,6,1,0,0,0,--,--,--,--,--,7,
30-Sep-2009,Southern,Gastroenterology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Sep-2009,Southern,Cardiology,Acute Services,41,25,0,0,0,--,--,--,--,--,66,
30-Sep-2009,Southern,Rheumatology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Sep-2009,Southern,Gynaecology,Acute Services,91,90,0,0,0,--,--,--,--,--,181,
30-Sep-2009,Western,General Surgery,Acute Services,155,91,50,8,9,--,--,--,--,--,313,
30-Sep-2009,Western,Urology,Acute Services,55,17,26,6,4,--,--,--,--,--,108,
30-Sep-2009,Western,T & O Surgery,Acute Services,232,204,177,53,35,--,--,--,--,--,701,
30-Sep-2009,Western,ENT,Acute Services,191,145,9,3,2,--,--,--,--,--,350,
30-Sep-2009,Western,Ophthalmology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Sep-2009,Western,Oral Surgery,Acute Services,46,19,0,0,0,--,--,--,--,--,65,
30-Sep-2009,Western,General Medicine,Acute Services,4,2,0,0,0,--,--,--,--,--,6,
30-Sep-2009,Western,Cardiology,Acute Services,0,2,0,0,0,--,--,--,--,--,2,
30-Sep-2009,Western,Paediatrics,Acute Services,4,2,0,0,0,--,--,--,--,--,6,
30-Sep-2009,Western,Gynaecology,Acute Services,112,97,15,0,0,--,--,--,--,--,224,
31-Dec-2009,Belfast,General Surgery,Acute Services,412,403,57,9,6,--,--,--,--,--,887,
31-Dec-2009,Belfast,Urology,Acute Services,166,93,60,21,56,--,--,--,--,--,396,
31-Dec-2009,Belfast,T & O Surgery,Acute Services,785,"1,008",360,87,70,--,--,--,--,--,"2,310",
31-Dec-2009,Belfast,ENT,Acute Services,270,349,132,4,1,--,--,--,--,--,756,
31-Dec-2009,Belfast,Ophthalmology,Acute Services,44,87,60,40,41,--,--,--,--,--,272,
31-Dec-2009,Belfast,Oral Surgery,Acute Services,12,27,9,0,0,--,--,--,--,--,48,
31-Dec-2009,Belfast,Paediatric Dentistry,Acute Services,14,0,0,0,0,--,--,--,--,--,14,
31-Dec-2009,Belfast,Neurosurgery,Acute Services,32,83,27,11,25,--,--,--,--,--,178,
31-Dec-2009,Belfast,Plastic Surgery,Acute Services,57,59,60,22,11,--,--,--,--,--,209,
31-Dec-2009,Belfast,Cardiac Surgery,Acute Services,114,122,107,7,0,--,--,--,--,--,350,
31-Dec-2009,Belfast,Paediatric Surgery,Acute Services,18,17,1,0,0,--,--,--,--,--,36,
31-Dec-2009,Belfast,Thoracic Surgery,Acute Services,33,8,0,0,0,--,--,--,--,--,41,
31-Dec-2009,Belfast,Pain Management,Acute Services,0,1,0,0,1,--,--,--,--,--,2,
31-Dec-2009,Belfast,General Medicine,Acute Services,28,7,1,0,0,--,--,--,--,--,36,
31-Dec-2009,Belfast,Gastroenterology,Acute Services,12,3,1,1,0,--,--,--,--,--,17,
31-Dec-2009,Belfast,Endocrinology,Acute Services,16,3,0,0,0,--,--,--,--,--,19,
31-Dec-2009,Belfast,Cardiology,Acute Services,125,71,37,3,3,--,--,--,--,--,239,
31-Dec-2009,Belfast,Dermatology,Acute Services,5,0,0,0,0,--,--,--,--,--,5,
31-Dec-2009,Belfast,Thoracic Medicine,Acute Services,6,4,0,0,0,--,--,--,--,--,10,
31-Dec-2009,Belfast,Nephrology,Acute Services,9,17,1,0,0,--,--,--,--,--,27,
31-Dec-2009,Belfast,Neurology,Acute Services,34,43,35,0,0,--,--,--,--,--,112,
31-Dec-2009,Belfast,Paediatrics,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
31-Dec-2009,Belfast,Gynaecology,Acute Services,128,112,40,19,9,--,--,--,--,--,308,
31-Dec-2009,Belfast,Child & Adolescent Psychiatry,Mental Health,2,0,0,0,0,--,--,--,--,--,2,
31-Dec-2009,Belfast,Radiology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Dec-2009,Northern,General Surgery,Acute Services,152,107,75,8,5,--,--,--,--,--,347,
31-Dec-2009,Northern,Urology,Acute Services,49,84,46,30,7,--,--,--,--,--,216,
31-Dec-2009,Northern,ENT,Acute Services,145,169,70,0,0,--,--,--,--,--,384,
31-Dec-2009,Northern,General Medicine,Acute Services,0,2,1,2,0,--,--,--,--,--,5,
31-Dec-2009,Northern,Gastroenterology,Acute Services,1,4,0,0,0,--,--,--,--,--,5,
31-Dec-2009,Northern,Cardiology,Acute Services,35,25,9,1,0,--,--,--,--,--,70,
31-Dec-2009,Northern,Gynaecology,Acute Services,120,122,43,2,1,--,--,--,--,--,288,
31-Dec-2009,Northern,GP Other,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
31-Dec-2009,South Eastern,General Surgery,Acute Services,66,48,16,1,0,--,--,--,--,--,131,
31-Dec-2009,South Eastern,Urology,Acute Services,31,17,7,0,0,--,--,--,--,--,55,
31-Dec-2009,South Eastern,T & O Surgery,Acute Services,7,4,0,0,0,--,--,--,--,--,11,
31-Dec-2009,South Eastern,ENT,Acute Services,44,15,0,0,0,--,--,--,--,--,59,
31-Dec-2009,South Eastern,Ophthalmology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Dec-2009,South Eastern,Oral Surgery,Acute Services,19,20,8,1,0,--,--,--,--,--,48,
31-Dec-2009,South Eastern,Plastic Surgery,Acute Services,56,75,41,5,1,--,--,--,--,--,178,
31-Dec-2009,South Eastern,General Medicine,Acute Services,13,8,0,0,0,--,--,--,--,--,21,
31-Dec-2009,South Eastern,Cardiology,Acute Services,15,13,6,0,0,--,--,--,--,--,34,
31-Dec-2009,South Eastern,Gynaecology,Acute Services,113,93,27,11,0,--,--,--,--,--,244,
31-Dec-2009,Southern,General Surgery,Acute Services,188,124,0,0,0,--,--,--,--,--,312,
31-Dec-2009,Southern,Urology,Acute Services,77,94,42,14,7,--,--,--,--,--,234,
31-Dec-2009,Southern,T & O Surgery,Acute Services,39,62,32,0,0,--,--,--,--,--,133,
31-Dec-2009,Southern,ENT,Acute Services,171,157,0,0,0,--,--,--,--,--,328,
31-Dec-2009,Southern,General Medicine,Acute Services,8,0,0,0,0,--,--,--,--,--,8,
31-Dec-2009,Southern,Gastroenterology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Dec-2009,Southern,Cardiology,Acute Services,35,31,0,0,0,--,--,--,--,--,66,
31-Dec-2009,Southern,Thoracic Medicine,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Dec-2009,Southern,Gynaecology,Acute Services,93,86,0,0,0,--,--,--,--,--,179,
31-Dec-2009,Western,General Surgery,Acute Services,116,134,71,23,23,--,--,--,--,--,367,
31-Dec-2009,Western,Urology,Acute Services,44,30,27,7,23,--,--,--,--,--,131,
31-Dec-2009,Western,T & O Surgery,Acute Services,154,331,277,89,114,--,--,--,--,--,965,
31-Dec-2009,Western,ENT,Acute Services,136,144,82,36,3,--,--,--,--,--,401,
31-Dec-2009,Western,Ophthalmology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Dec-2009,Western,Oral Surgery,Acute Services,67,17,0,0,0,--,--,--,--,--,84,
31-Dec-2009,Western,General Medicine,Acute Services,1,1,1,0,0,--,--,--,--,--,3,
31-Dec-2009,Western,Cardiology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Dec-2009,Western,Paediatrics,Acute Services,4,0,0,0,0,--,--,--,--,--,4,
31-Dec-2009,Western,Gynaecology,Acute Services,86,94,32,4,0,--,--,--,--,--,216,
31-Mar-2010,Belfast,General Surgery,Acute Services,411,330,24,0,0,--,--,--,--,--,765,
31-Mar-2010,Belfast,Urology,Acute Services,192,108,80,36,25,--,--,--,--,--,441,
31-Mar-2010,Belfast,T & O Surgery,Acute Services,748,900,503,119,27,--,--,--,--,--,"2,297",
31-Mar-2010,Belfast,ENT,Acute Services,346,350,9,2,0,--,--,--,--,--,707,
31-Mar-2010,Belfast,Ophthalmology,Acute Services,107,96,1,0,3,--,--,--,--,--,207,
31-Mar-2010,Belfast,Oral Surgery,Acute Services,22,29,7,0,0,--,--,--,--,--,58,
31-Mar-2010,Belfast,Paediatric Dentistry,Acute Services,1,1,3,0,0,--,--,--,--,--,5,
31-Mar-2010,Belfast,Neurosurgery,Acute Services,42,37,25,15,1,--,--,--,--,--,120,
31-Mar-2010,Belfast,Plastic Surgery,Acute Services,31,57,60,0,1,--,--,--,--,--,149,
31-Mar-2010,Belfast,Cardiac Surgery,Acute Services,85,121,83,0,0,--,--,--,--,--,289,
31-Mar-2010,Belfast,Paediatric Surgery,Acute Services,26,19,0,0,0,--,--,--,--,--,45,
31-Mar-2010,Belfast,Thoracic Surgery,Acute Services,32,15,0,0,0,--,--,--,--,--,47,
31-Mar-2010,Belfast,Pain Management,Acute Services,2,1,0,0,0,--,--,--,--,--,3,
31-Mar-2010,Belfast,General Medicine,Acute Services,22,11,0,0,0,--,--,--,--,--,33,
31-Mar-2010,Belfast,Gastroenterology,Acute Services,16,0,0,0,0,--,--,--,--,--,16,
31-Mar-2010,Belfast,Endocrinology,Acute Services,12,9,0,0,0,--,--,--,--,--,21,
31-Mar-2010,Belfast,Cardiology,Acute Services,125,59,20,5,0,--,--,--,--,--,209,
31-Mar-2010,Belfast,Dermatology,Acute Services,1,2,0,0,0,--,--,--,--,--,3,
31-Mar-2010,Belfast,Thoracic Medicine,Acute Services,4,3,0,0,0,--,--,--,--,--,7,
31-Mar-2010,Belfast,Nephrology,Acute Services,10,11,0,1,3,--,--,--,--,--,25,
31-Mar-2010,Belfast,Neurology,Acute Services,36,45,37,0,0,--,--,--,--,--,118,
31-Mar-2010,Belfast,Rheumatology,Acute Services,7,0,0,0,0,--,--,--,--,--,7,
31-Mar-2010,Belfast,Gynaecology,Acute Services,153,132,57,0,0,--,--,--,--,--,342,
31-Mar-2010,Belfast,Mental Illness,Mental Health,4,0,0,0,0,--,--,--,--,--,4,
31-Mar-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,6,0,0,0,0,--,--,--,--,--,6,
31-Mar-2010,Belfast,Radiology,Acute Services,3,0,0,0,0,--,--,--,--,--,3,
31-Mar-2010,Northern,General Surgery,Acute Services,161,97,2,0,0,--,--,--,--,--,260,
31-Mar-2010,Northern,Urology,Acute Services,69,46,10,0,0,--,--,--,--,--,125,
31-Mar-2010,Northern,ENT,Acute Services,166,160,1,0,0,--,--,--,--,--,327,
31-Mar-2010,Northern,General Medicine,Acute Services,3,0,0,0,0,--,--,--,--,--,3,
31-Mar-2010,Northern,Gastroenterology,Acute Services,4,0,0,0,0,--,--,--,--,--,4,
31-Mar-2010,Northern,Cardiology,Acute Services,22,0,0,0,0,--,--,--,--,--,22,
31-Mar-2010,Northern,Gynaecology,Acute Services,146,90,0,0,0,--,--,--,--,--,236,
31-Mar-2010,South Eastern,General Surgery,Acute Services,79,57,0,0,0,--,--,--,--,--,136,
31-Mar-2010,South Eastern,Urology,Acute Services,36,4,0,0,0,--,--,--,--,--,40,
31-Mar-2010,South Eastern,T & O Surgery,Acute Services,7,3,0,0,0,--,--,--,--,--,10,
31-Mar-2010,South Eastern,ENT,Acute Services,26,17,0,0,0,--,--,--,--,--,43,
31-Mar-2010,South Eastern,Ophthalmology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2010,South Eastern,Oral Surgery,Acute Services,14,15,0,0,0,--,--,--,--,--,29,
31-Mar-2010,South Eastern,Plastic Surgery,Acute Services,55,42,44,29,0,--,--,--,--,--,170,
31-Mar-2010,South Eastern,Pain Management,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
31-Mar-2010,South Eastern,General Medicine,Acute Services,19,5,0,0,0,--,--,--,--,--,24,
31-Mar-2010,South Eastern,Cardiology,Acute Services,7,5,0,0,0,--,--,--,--,--,12,
31-Mar-2010,South Eastern,Paediatrics,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2010,South Eastern,Gynaecology,Acute Services,112,79,0,0,0,--,--,--,--,--,191,
31-Mar-2010,Southern,General Surgery,Acute Services,160,185,2,0,0,--,--,--,--,--,347,
31-Mar-2010,Southern,Urology,Acute Services,78,61,28,0,0,--,--,--,--,--,167,
31-Mar-2010,Southern,T & O Surgery,Acute Services,58,59,18,1,0,--,--,--,--,--,136,
31-Mar-2010,Southern,ENT,Acute Services,159,173,0,0,0,--,--,--,--,--,332,
31-Mar-2010,Southern,General Medicine,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
31-Mar-2010,Southern,Gastroenterology,Acute Services,4,2,0,0,0,--,--,--,--,--,6,
31-Mar-2010,Southern,Cardiology,Acute Services,43,20,0,0,0,--,--,--,--,--,63,
31-Mar-2010,Southern,Gynaecology,Acute Services,83,92,0,0,0,--,--,--,--,--,175,
31-Mar-2010,Western,General Surgery,Acute Services,179,97,39,22,0,--,--,--,--,--,337,
31-Mar-2010,Western,Urology,Acute Services,62,23,11,8,0,--,--,--,--,--,104,
31-Mar-2010,Western,T & O Surgery,Acute Services,231,202,278,217,0,--,--,--,--,--,928,
31-Mar-2010,Western,ENT,Acute Services,152,186,13,8,0,--,--,--,--,--,359,
31-Mar-2010,Western,Oral Surgery,Acute Services,87,20,0,0,0,--,--,--,--,--,107,
31-Mar-2010,Western,General Medicine,Acute Services,4,2,0,0,0,--,--,--,--,--,6,
31-Mar-2010,Western,Cardiology,Acute Services,5,1,0,0,0,--,--,--,--,--,6,
31-Mar-2010,Western,Paediatrics,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
31-Mar-2010,Western,Gynaecology,Acute Services,107,91,21,0,0,--,--,--,--,--,219,
30-Jun-2010,Belfast,General Surgery,Acute Services,416,269,62,27,--,--,--,--,20,0,794,
30-Jun-2010,Belfast,Urology,Acute Services,128,90,99,39,--,--,--,--,47,16,419,
30-Jun-2010,Belfast,T & O Surgery,Acute Services,813,771,610,142,--,--,--,--,72,18,"2,426",
30-Jun-2010,Belfast,ENT,Acute Services,346,393,115,13,--,--,--,--,0,0,867,
30-Jun-2010,Belfast,Ophthalmology,Acute Services,41,47,62,11,--,--,--,--,1,1,163,
30-Jun-2010,Belfast,Oral Surgery,Acute Services,20,29,19,5,--,--,--,--,2,0,75,
30-Jun-2010,Belfast,Paediatric Dentistry,Acute Services,5,0,0,0,--,--,--,--,0,0,5,
30-Jun-2010,Belfast,Neurosurgery,Acute Services,49,41,21,14,--,--,--,--,4,4,133,
30-Jun-2010,Belfast,Plastic Surgery,Acute Services,96,73,32,33,--,--,--,--,10,1,245,
30-Jun-2010,Belfast,Cardiac Surgery,Acute Services,130,100,84,13,--,--,--,--,4,1,332,
30-Jun-2010,Belfast,Paediatric Surgery,Acute Services,29,20,9,1,--,--,--,--,0,0,59,
30-Jun-2010,Belfast,Thoracic Surgery,Acute Services,40,25,14,4,--,--,--,--,0,0,83,
30-Jun-2010,Belfast,Pain Management,Acute Services,3,2,1,0,--,--,--,--,0,0,6,
30-Jun-2010,Belfast,General Medicine,Acute Services,21,6,2,0,--,--,--,--,0,0,29,
30-Jun-2010,Belfast,Gastroenterology,Acute Services,16,5,1,0,--,--,--,--,0,0,22,
30-Jun-2010,Belfast,Endocrinology,Acute Services,11,0,0,0,--,--,--,--,0,0,11,
30-Jun-2010,Belfast,Cardiology,Acute Services,85,83,54,6,--,--,--,--,5,1,234,
30-Jun-2010,Belfast,Dermatology,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
30-Jun-2010,Belfast,Thoracic Medicine,Acute Services,3,0,0,0,--,--,--,--,0,0,3,
30-Jun-2010,Belfast,Nephrology,Acute Services,16,4,1,1,--,--,--,--,0,1,23,
30-Jun-2010,Belfast,Neurology,Acute Services,57,35,47,22,--,--,--,--,7,0,168,
30-Jun-2010,Belfast,Rheumatology,Acute Services,0,1,4,0,--,--,--,--,0,0,5,
30-Jun-2010,Belfast,Gynaecology,Acute Services,166,97,86,19,--,--,--,--,11,1,380,
30-Jun-2010,Belfast,Mental Illness,Mental Health,1,0,0,0,--,--,--,--,0,0,1,
30-Jun-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,6,0,0,0,--,--,--,--,0,0,6,
30-Jun-2010,Belfast,Radiology,Acute Services,1,0,1,0,--,--,--,--,0,0,2,
30-Jun-2010,Northern,General Surgery,Acute Services,126,107,78,14,--,--,--,--,5,1,331,
30-Jun-2010,Northern,Urology,Acute Services,88,50,49,19,--,--,--,--,7,3,216,
30-Jun-2010,Northern,ENT,Acute Services,157,149,37,1,--,--,--,--,0,0,344,
30-Jun-2010,Northern,Pain Management,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
30-Jun-2010,Northern,General Medicine,Acute Services,3,0,0,0,--,--,--,--,0,0,3,
30-Jun-2010,Northern,Gastroenterology,Acute Services,1,1,1,0,--,--,--,--,0,0,3,
30-Jun-2010,Northern,Cardiology,Acute Services,34,11,0,0,--,--,--,--,0,0,45,
30-Jun-2010,Northern,Gynaecology,Acute Services,101,118,74,1,--,--,--,--,0,0,294,
30-Jun-2010,Northern,GP Other,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
30-Jun-2010,South Eastern,General Surgery,Acute Services,88,47,19,7,--,--,--,--,1,0,162,
30-Jun-2010,South Eastern,Urology,Acute Services,33,9,3,0,--,--,--,--,0,0,45,
30-Jun-2010,South Eastern,T & O Surgery,Acute Services,9,5,0,0,--,--,--,--,0,0,14,
30-Jun-2010,South Eastern,ENT,Acute Services,53,28,0,0,--,--,--,--,0,0,81,
30-Jun-2010,South Eastern,Ophthalmology,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
30-Jun-2010,South Eastern,Oral Surgery,Acute Services,17,11,6,0,--,--,--,--,0,0,34,
30-Jun-2010,South Eastern,Plastic Surgery,Acute Services,61,43,56,23,--,--,--,--,44,27,254,
30-Jun-2010,South Eastern,General Medicine,Acute Services,18,5,1,1,--,--,--,--,0,0,25,
30-Jun-2010,South Eastern,Cardiology,Acute Services,0,0,1,0,--,--,--,--,0,0,1,
30-Jun-2010,South Eastern,Geriatric Medicine,Elderly Care,1,0,0,0,--,--,--,--,0,0,1,
30-Jun-2010,South Eastern,Gynaecology,Acute Services,130,80,32,6,--,--,--,--,1,0,249,
30-Jun-2010,Southern,General Surgery,Acute Services,155,123,52,7,--,--,--,--,0,0,337,
30-Jun-2010,Southern,Urology,Acute Services,86,75,61,26,--,--,--,--,21,1,270,
30-Jun-2010,Southern,T & O Surgery,Acute Services,66,60,24,3,--,--,--,--,0,0,153,
30-Jun-2010,Southern,ENT,Acute Services,153,174,0,0,--,--,--,--,0,0,327,
30-Jun-2010,Southern,Gastroenterology,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
30-Jun-2010,Southern,Haematology (Clinical),Acute Services,1,0,0,0,--,--,--,--,0,0,1,
30-Jun-2010,Southern,Cardiology,Acute Services,39,32,5,0,--,--,--,--,0,0,76,
30-Jun-2010,Southern,Thoracic Medicine,Acute Services,1,0,0,0,--,--,--,--,0,0,1,
30-Jun-2010,Southern,Rheumatology,Acute Services,1,2,0,0,--,--,--,--,0,0,3,
30-Jun-2010,Southern,Gynaecology,Acute Services,134,106,0,0,--,--,--,--,0,0,240,
30-Jun-2010,Western,General Surgery,Acute Services,110,119,107,25,--,--,--,--,28,4,393,
30-Jun-2010,Western,Urology,Acute Services,41,27,26,9,--,--,--,--,12,2,117,
30-Jun-2010,Western,T & O Surgery,Acute Services,155,219,240,119,--,--,--,--,287,24,"1,044",
30-Jun-2010,Western,ENT,Acute Services,179,190,93,13,--,--,--,--,12,0,487,
30-Jun-2010,Western,Ophthalmology,Acute Services,2,0,0,0,--,--,--,--,0,0,2,
30-Jun-2010,Western,Oral Surgery,Acute Services,59,20,20,0,--,--,--,--,0,0,99,
30-Jun-2010,Western,General Medicine,Acute Services,2,0,1,0,--,--,--,--,0,0,3,
30-Jun-2010,Western,Cardiology,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
30-Jun-2010,Western,Paediatrics,Acute Services,4,1,1,0,--,--,--,--,0,0,6,
30-Jun-2010,Western,Gynaecology,Acute Services,86,79,53,10,--,--,--,--,0,0,228,
30-Jun-2010,Western,GP Other,Acute Services,0,1,0,0,--,--,--,--,0,0,1,
30-Sep-2010,Belfast,General Surgery,Acute Services,398,290,143,27,--,--,--,--,28,20,906,
30-Sep-2010,Belfast,Urology,Acute Services,139,93,64,30,--,--,--,--,56,29,411,
30-Sep-2010,Belfast,T & O Surgery,Acute Services,67,33,"1,058",466,--,--,--,--,642,163,"2,429",
30-Sep-2010,Belfast,ENT,Acute Services,283,281,268,86,--,--,--,--,24,1,943,
30-Sep-2010,Belfast,Ophthalmology,Acute Services,50,56,46,9,--,--,--,--,21,1,183,
30-Sep-2010,Belfast,Oral Surgery,Acute Services,20,15,23,6,--,--,--,--,3,0,67,
30-Sep-2010,Belfast,Paediatric Dentistry,Acute Services,10,0,1,0,--,--,--,--,0,0,11,
30-Sep-2010,Belfast,Neurosurgery,Acute Services,34,31,35,3,--,--,--,--,8,6,117,
30-Sep-2010,Belfast,Plastic Surgery,Acute Services,55,52,87,36,--,--,--,--,39,18,287,
30-Sep-2010,Belfast,Cardiac Surgery,Acute Services,131,96,98,20,--,--,--,--,1,0,346,
30-Sep-2010,Belfast,Paediatric Surgery,Acute Services,24,13,19,5,--,--,--,--,5,0,66,
30-Sep-2010,Belfast,Thoracic Surgery,Acute Services,43,16,18,11,--,--,--,--,9,0,97,
